,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
48,0.14291814,0.035567164,0.18859258,inf,inf,0.10516862,0.019442055,0.13943477,inf,inf
48,0.14538805,0.036067497,0.18991445,inf,inf,0.108515635,0.021388644,0.14624856,inf,inf
48,0.14682752,0.03794073,0.1947838,inf,inf,0.109745055,0.02160222,0.14697693,inf,inf
48,0.14119266,0.03346905,0.18294549,inf,inf,0.10694468,0.020087965,0.14173202,inf,inf
48,0.14478447,0.035228334,0.18769212,inf,inf,0.11032233,0.021894515,0.14796795,inf,inf
48,0.13715555,0.032488707,0.18024623,inf,inf,0.10300866,0.018935967,0.13760802,inf,inf
48,0.13751979,0.03110192,0.17635736,inf,inf,0.10432726,0.019449051,0.13945986,inf,inf
48,0.14107783,0.033608194,0.18332538,inf,inf,0.10650813,0.020420032,0.14289868,inf,inf
48,0.13975348,0.032684326,0.18078807,inf,inf,0.1080901,0.020783402,0.1441645,inf,inf
48,0.14304875,0.03506839,0.18726556,inf,inf,0.10662758,0.020499717,0.14317723,inf,inf
mean,0.14196661,0.034322433,0.1851911,inf,inf,0.1069258,0.020450357,0.14296687,inf,inf
