,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
16,0.0858979,0.014133275,0.118883446,inf,inf,0.070728265,0.008548692,0.092459135,inf,inf
16,0.08486415,0.0131665245,0.114745475,inf,inf,0.07014302,0.008501284,0.09220241,inf,inf
16,0.08746271,0.015200146,0.12328887,inf,inf,0.07057302,0.008594831,0.09270831,inf,inf
16,0.08633132,0.014340477,0.11975173,inf,inf,0.06976083,0.008436311,0.091849394,inf,inf
16,0.08466799,0.013114462,0.11451839,inf,inf,0.07134064,0.008931372,0.094505936,inf,inf
16,0.08686819,0.014742569,0.12141898,inf,inf,0.070034534,0.008487517,0.09212772,inf,inf
16,0.08836771,0.014667082,0.12110773,inf,inf,0.06957309,0.008331197,0.091275394,inf,inf
16,0.090960175,0.016603045,0.1288528,inf,inf,0.07032827,0.008580307,0.09262995,inf,inf
16,0.08831405,0.014595168,0.120810464,inf,inf,0.071070485,0.00877495,0.093674704,inf,inf
16,0.08510405,0.014581439,0.12075363,inf,inf,0.07051373,0.0086319,0.09290802,inf,inf
mean,0.08688383,0.014514419,0.12041316,inf,inf,0.070406586,0.008581836,0.0926341,inf,inf
