,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
24,0.09450687,0.016645256,0.1290165,inf,inf,0.07705576,0.0101473825,0.10073422,inf,inf
24,0.0992725,0.020958453,0.14477035,inf,inf,0.07616444,0.010102838,0.10051288,inf,inf
24,0.098822266,0.019524783,0.13973111,inf,inf,0.075790465,0.009977169,0.099885784,inf,inf
24,0.096781746,0.017666096,0.13291387,inf,inf,0.07466307,0.009706486,0.0985215,inf,inf
24,0.09629889,0.018644476,0.13654478,inf,inf,0.07400459,0.009648232,0.098225415,inf,inf
24,0.095813714,0.017952627,0.13398741,inf,inf,0.07513014,0.009794172,0.09896551,inf,inf
24,0.09694631,0.017139966,0.1309197,inf,inf,0.077387296,0.010199291,0.10099154,inf,inf
24,0.09767608,0.018073224,0.1344367,inf,inf,0.078925006,0.010441188,0.10218213,inf,inf
24,0.09601492,0.018095767,0.1345205,inf,inf,0.07623034,0.0100901285,0.10044963,inf,inf
24,0.10054518,0.017960561,0.13401702,inf,inf,0.075782716,0.00980389,0.099014595,inf,inf
mean,0.09726785,0.01826612,0.13508579,inf,inf,0.07611339,0.009991078,0.09994832,inf,inf
