,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
32,0.112680264,0.02368011,0.15388343,inf,inf,0.083023034,0.011872912,0.10896289,inf,inf
32,0.11104309,0.024729872,0.15725735,inf,inf,0.08138788,0.01156086,0.10752144,inf,inf
32,0.109133765,0.023315353,0.15269366,inf,inf,0.0829673,0.012066035,0.109845504,inf,inf
32,0.10632345,0.019785088,0.14065947,inf,inf,0.08348024,0.0118409265,0.10881602,inf,inf
32,0.1097269,0.022332832,0.14944173,inf,inf,0.08292845,0.011966412,0.10939109,inf,inf
32,0.105784245,0.019906582,0.14109069,inf,inf,0.0815879,0.011684651,0.108095564,inf,inf
32,0.11489487,0.026644979,0.1632329,inf,inf,0.08184085,0.011755334,0.10842202,inf,inf
32,0.1076745,0.021050664,0.14508846,inf,inf,0.08392128,0.01216747,0.110306256,inf,inf
32,0.11115633,0.024912048,0.15783551,inf,inf,0.08269527,0.011748093,0.10838862,inf,inf
32,0.11032333,0.02320982,0.1523477,inf,inf,0.08227901,0.011858924,0.10889869,inf,inf
mean,0.10987407,0.022956735,0.15135309,inf,inf,0.08261113,0.011852162,0.10886481,inf,inf
