,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
2,0.07301222,0.011915129,0.109156445,0.13144876,0.03928504,0.061432146,0.006667612,0.08165545,0.07766423,0.013272631
2,0.07370697,0.009357322,0.09673325,0.14843605,0.055460557,0.06323564,0.0068789376,0.082939364,0.07914137,0.013208691
2,0.08108278,0.011929619,0.1092228,0.15554535,0.057682462,0.06564987,0.007396658,0.086003825,0.08303257,0.014954835
2,0.07437605,0.010006137,0.10003068,0.14930232,0.060072385,0.06337292,0.0069900905,0.083606765,0.08020397,0.014024028
2,0.071874805,0.0097205285,0.09859274,0.13461307,0.047743913,0.0623703,0.006767594,0.082265384,0.078235544,0.013021342
2,0.07111348,0.010222372,0.10110574,0.12687938,0.035545595,0.06261658,0.0067986413,0.08245388,0.078878574,0.013186191
2,0.07616667,0.010495829,0.10244916,0.14020857,0.04833456,0.06451937,0.007188986,0.08478789,0.080885224,0.013957661
2,0.073882125,0.009884335,0.099419996,0.13829845,0.05487174,0.06370981,0.006999153,0.083660945,0.08026582,0.01403334
2,0.07418286,0.0097283125,0.09863221,0.13596615,0.039816447,0.06610241,0.0075093564,0.08665654,0.08283825,0.014251587
2,0.079711035,0.012427838,0.11148021,0.15269563,0.05767057,0.06218442,0.0067981905,0.08245114,0.07983188,0.014616449
mean,0.074910894,0.010568742,0.10268233,0.14133939,0.049648326,0.063519344,0.0069995224,0.083648115,0.08009775,0.013852676
