,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
4,0.08016495,0.012912993,0.113635354,0.16507977,0.08449966,0.06473164,0.007233389,0.08504933,0.08285559,0.015439424
4,0.07286972,0.010455359,0.10225145,0.15530457,0.07807022,0.06429775,0.007152058,0.08456984,0.083224334,0.01609679
4,0.075813815,0.010367352,0.10182019,0.14961585,0.055123165,0.063855745,0.0070443363,0.083930545,0.08223254,0.015118962
4,0.07469153,0.01058602,0.10288838,0.1655292,0.11233067,0.0633759,0.007047022,0.08394654,0.081725635,0.015894044
4,0.07739629,0.012018689,0.10962978,0.15487611,0.06513421,0.06322688,0.0069587682,0.08341923,0.08077958,0.014531168
4,0.07759071,0.0113667175,0.106614806,0.15799963,0.061523423,0.0635156,0.0069796084,0.08354405,0.08151458,0.01469952
4,0.07273848,0.010100031,0.100498915,0.14316681,0.055123538,0.06421594,0.0071657053,0.08465049,0.08203153,0.015052656
4,0.08005848,0.012563229,0.11208581,0.16531555,0.07974647,0.06627874,0.007608236,0.0872252,0.08512241,0.016328456
4,0.074696176,0.010626227,0.10308359,0.15887178,0.077872135,0.06365277,0.007046909,0.08394587,0.0817208,0.015094249
4,0.07774339,0.012512147,0.11185771,0.1488842,0.05723798,0.064538114,0.0071669817,0.08465803,0.081999,0.01458949
mean,0.07637635,0.011350876,0.10643661,0.15646434,0.07266615,0.06416891,0.007140301,0.08449391,0.0823206,0.015284474
