unit_id,sensor 2,sensor 3,sensor 4,sensor 7,sensor 8,sensor 9,sensor 11,sensor 12,sensor 13,sensor 14,sensor 15,sensor 17,sensor 20,sensor 21,HI
1,-0.36037812,-0.36748138,-0.7654501,0.82369417,-0.4718336,-1.52252,-0.39142126,0.9982555,0.39686283,-1.479092,-0.62703294,0.094114415,-0.222889,0.49837503,-1.5222021
1,-1.0183945,-1.3575817,-1.2623773,1.1816144,-0.3154052,-1.6540686,-0.6875241,0.7804084,-0.32208788,-1.4858738,-1.0746205,-0.49940625,1.2572392,1.3443197,0.15800849
1,-1.5654649,-1.2534008,-1.4870309,1.0608681,-0.6565127,-1.6277734,-0.66160333,0.61683744,-0.50706685,-1.0981452,-1.4465879,-0.96854734,1.4801662,1.5724276,0.53185785
1,-1.0581005,-1.09684,-1.0713147,0.7575313,-0.18948625,-1.623636,-0.80431676,0.5678576,-0.8896426,-1.7522395,-1.0389351,-0.5652581,1.1380129,1.4652479,0.41820145
1,-0.8281448,-0.8174099,-1.1905137,0.9015561,-0.31939244,-1.6973326,-1.2118101,0.74226,-0.29086992,-0.88398623,-1.046809,-0.7776533,0.96774817,1.1038463,0.607882
1,-1.0036954,-0.8737236,-0.8736597,0.91173434,-0.59056044,-1.7306288,-1.6714784,0.83865476,-0.37009406,-0.92437977,-0.81085163,-0.39749804,1.275528,1.0548143,0.12032993
1,-1.2117956,-1.1920615,-1.1039982,1.104833,-0.31778985,-1.7902135,-0.87999123,0.46211565,-0.3771604,-1.2543545,-0.8466544,-0.7417598,0.84955174,1.2589053,-0.38451675
1,-1.0158843,-1.657461,-1.0690279,0.9038294,-0.26661962,-1.7657592,-0.5847548,0.71046364,-0.4607975,-1.739144,-0.9383251,-0.71977687,1.1679969,1.208727,0.23105855
1,-0.18015864,-1.5393492,-0.6546122,0.5090866,-0.080701604,-1.3703936,-0.51421577,0.106339075,-0.94586575,-1.00769,-0.96800107,-0.3664309,0.8960419,1.1567256,0.6587798
1,-0.6257666,-0.9620168,-1.92354,0.82905126,-0.52582645,-2.1713674,-0.67808485,0.7893396,-0.26650518,-1.4589808,-1.3553389,-0.8554724,0.8313169,0.9764953,0.2782604
1,-0.3701345,-1.1402793,-0.9239272,1.0552081,-0.27804673,-1.6713649,-1.184354,0.9171288,-0.5129385,-1.668212,-0.64623326,-0.98064005,1.0391487,1.0232995,-0.13431016
1,-1.2386817,-1.0282948,-0.9959835,1.0261992,-0.48430675,-1.9450645,-1.2253785,1.0293958,-0.34592253,-1.0474782,-1.4392785,-0.800815,1.1378145,0.7348656,0.040686168
1,-0.6313623,-0.77818453,-1.1695774,1.3843908,-0.2033747,-1.8800595,-0.8386846,0.56064713,-0.6328329,-1.4846369,-0.8571022,-0.44054437,1.2786071,1.1320142,0.013271324
1,-1.4289632,-0.71657336,-1.6936623,1.4268479,-0.5161709,-1.4601513,-0.4695684,0.08160711,-0.257386,-1.0583647,-1.1799586,-0.905579,1.3864187,0.64310604,0.13737082
1,-1.2503071,-0.73463523,-0.5544318,1.2868578,-0.6620187,-1.6819886,-0.91273284,0.7965727,-0.71267176,-1.1685131,-1.322403,-0.77562964,1.5707004,1.315884,0.31758836
1,-1.4817872,-0.9155053,-1.0718087,0.5484132,-0.12871052,-1.2152463,-0.3521262,0.7650229,-0.4283802,-1.2894459,-2.1291807,-0.9065439,0.72590494,0.96424353,0.29099283
1,-0.55515504,-1.2304413,-1.4733496,0.7683956,-0.084675,-1.6425514,-0.531688,1.1190839,-0.57470465,-1.6696968,-1.1200844,-0.815833,1.5164907,0.84559155,0.8865341
1,-0.90986544,-0.5812678,-1.5899739,0.68835974,-0.7140297,-1.7473068,-0.7800901,1.0259527,-0.5560831,-0.88313377,-1.2067119,-0.91148883,1.0888171,0.70368063,0.6036483
